Corruption Perceptions Index 2018: Score and rank changes 2017-2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country,ISO3,Region,CPI Score 2018,CPI Score 2017,Change in scores 2017-2018,CPI Rank 2018,CPI Rank 2017,Change in rank   2017-2018,Standard error 2018,Standard error 2017,,,,
Slovakia,SVK,WE/EU,50,50,0,57,54,-3,4.11,3.32,,,,
Saudi Arabia,SAU,MENA,49,49,0,58,57,-1,6.34,6.14,,,,
Cuba,CUB,AME,47,47,0,61,62,1,2.56,2.36,,,,
Malaysia,MYS,AP,47,47,0,61,62,1,2.86,2.67,,,,
Sao Tome and Principe,STP,SSA,46,46,0,64,64,0,5.05,5.21,,,,
Senegal,SEN,SSA,45,45,0,67,66,-1,2.51,2.52,,,,
Belarus,BLR,ECA,44,44,0,70,68,-2,3.92,4.12,,,,
Jamaica,JAM,AME,44,44,0,70,68,-2,3.37,3.96,,,,
South Africa,ZAF,SSA,43,43,0,73,71,-2,3.8,3.98,,,,
Trinidad and Tobago,TTO,AME,41,41,0,78,77,-1,5.8,5.47,,,,
Bosnia and Herzegovina,BIH,ECA,38,38,0,89,91,2,1.86,2.56,,,,
Sri Lanka,LKA,AP,38,38,0,89,91,2,1.85,1.82,,,,
Panama,PAN,AME,37,37,0,93,96,3,1.76,1.79,,,,
Bahrain,BHR,MENA,36,36,0,99,103,4,1.81,1.81,,,,
Tanzania,TZA,SSA,36,36,0,99,103,4,1.83,1.55,,,,
Armenia,ARM,ECA,35,35,0,105,107,2,4,3.79,,,,
Djibouti,DJI,SSA,31,31,0,124,122,-2,5.38,5.32,,,,
Kazakhstan,KAZ,ECA,31,31,0,124,122,-2,3.6,3.59,,,,
Nepal,NPL,AP,31,31,0,124,122,-2,1.85,2,,,,
Sierra Leone,SLE,SSA,30,30,0,129,130,1,2.17,1.95,,,,
Honduras,HND,AME,29,29,0,132,135,3,2.42,2.32,,,,
Kyrgyzstan,KGZ,ECA,29,29,0,132,135,3,2.37,2.59,,,,
Laos,LAO,AP,29,29,0,132,135,3,5.7,5.89,,,,
Paraguay,PRY,AME,29,29,0,132,135,3,3.05,3.1,,,,
Lebanon,LBN,MENA,28,28,0,138,143,5,2.28,2.11,,,,
Comoros,COM,SSA,27,27,0,144,148,4,9,8.87,,,,
Nigeria,NGA,SSA,27,27,0,144,148,4,2.03,1.97,,,,
Uganda,UGA,SSA,26,26,0,149,151,2,2.13,2.11,,,,
Cameroon,CMR,SSA,25,25,0,152,153,1,2.43,2.58,,,,
Zimbabwe,ZWE,SSA,22,22,0,160,157,-3,2.29,2.22,,,,
Angola,AGO,SSA,19,19,0,165,167,2,1.31,1.28,,,,
Iraq,IRQ,MENA,18,18,0,168,169,1,2.63,2.47,,,,
Venezuela,VEN,AME,18,18,0,168,169,1,2.13,1.6,,,,
Libya,LBY,MENA,17,17,0,170,171,1,2.57,3.05,,,,
Sudan,SDN,SSA,16,16,0,172,175,3,2.51,2.31,,,,
Norway,NOR,WE/EU,84,85,-1,7,3,-4,2.14,1.83,,,,
Canada,CAN,AME,81,82,-1,9,8,-1,2.16,1.49,,,,
Luxembourg,LUX,WE/EU,81,82,-1,9,8,-1,2.32,2.08,,,,
Germany,DEU,WE/EU,80,81,-1,11,12,1,2.49,1.87,,,,
Hong Kong,HKG,AP,76,77,-1,14,13,-1,2.47,2.37,,,,
Iceland,ISL,WE/EU,76,77,-1,14,13,-1,4.33,4.38,,,,
Ireland,IRL,WE/EU,73,74,-1,18,19,1,3.25,3.68,,,,
United Arab Emirates,ARE,MENA,70,71,-1,23,21,-2,4.56,6.26,,,,
Qatar,QAT,MENA,62,63,-1,33,29,-4,8.08,7.5,,,,
Israel,ISR,MENA,61,62,-1,34,32,-2,1.49,2.19,,,,
Slovenia,SVN,WE/EU,60,61,-1,36,34,-2,2.37,2.78,,,,
Croatia,HRV,WE/EU,48,49,-1,60,57,-3,2.77,2.64,,,,
Romania,ROU,WE/EU,47,48,-1,61,59,-2,3.25,3.12,,,,
Montenegro,MNE,ECA,45,46,-1,67,64,-3,4.43,2.45,,,,
Bulgaria,BGR,WE/EU,42,43,-1,77,71,-6,2.41,2.66,,,,
Burkina Faso,BFA,SSA,41,42,-1,78,74,-4,1.81,2.18,,,,
Lesotho,LSO,SSA,41,42,-1,78,74,-4,3.67,4.08,,,,
Swaziland,SWZ,SSA,38,39,-1,89,85,-4,4.48,5.81,,,,
Guyana,GUY,AME,37,38,-1,93,91,-2,0.77,1.84,,,,
Colombia,COL,AME,36,37,-1,99,96,-3,2.51,2.77,,,,
Thailand,THA,AP,36,37,-1,99,96,-3,2.08,2.03,,,,
Cote d'Ivoire,CIV,SSA,35,36,-1,105,103,-2,2.05,2.03,,,,
Ethiopia,ETH,SSA,34,35,-1,114,107,-7,1.52,1.36,,,,
Gabon,GAB,SSA,31,32,-1,124,117,-7,3.92,3.22,,,,
Myanmar,MMR,AP,29,30,-1,132,130,-2,3.94,3.91,,,,
Mexico,MEX,AME,28,29,-1,138,135,-3,1.83,1.69,,,,
Papua New Guinea,PNG,AP,28,29,-1,138,135,-3,2.47,2.55,,,,
Russia,RUS,ECA,28,29,-1,138,135,-3,2.51,2.5,,,,
Guatemala,GTM,AME,27,28,-1,144,143,-1,2.56,2.19,,,,
Kenya,KEN,SSA,27,28,-1,144,143,-1,1.82,1.94,,,,
Mauritania,MRT,SSA,27,28,-1,144,143,-1,2.95,2.41,,,,
Nicaragua,NIC,AME,25,26,-1,152,151,-1,1.13,1.29,,,,
Cambodia,KHM,AP,20,21,-1,161,161,0,2.58,2.43,,,,
Democratic Republic of the Congo,COD,SSA,20,21,-1,161,161,0,2.13,1.96,,,,
