Corruption Perceptions Index 2018: Score timeseries since 2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country,ISO3,Region,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Georgia,GEO,ECA,58,41,6,3.92,56,46,6,3.1,57,6,3.61,52,5,6.53,52,6,6.47,49,6,6.9,52,6,6
Latvia,LVA,WE/EU,58,41,9,2.95,58,40,9,3.21,57,9,2.96,56,8,2.76,55,8,3.35,53,8,3.6,49,6,4
Saint Vincent and the Grenadines,VCT,AME,58,41,3,3.39,58,40,3,3.39,60,3,1.66,,,,62,3,5.59,62,3,5.6,62,3,5.6
Spain,ESP,WE/EU,58,41,8,4.33,57,42,8,3.78,58,7,4.09,58,7,4.07,60,7,3.75,59,7,4.9,65,7,2.9
Cabo Verde,CPV,SSA,57,45,4,4.22,55,48,4,4.19,59,3,5.72,55,4,6.16,57,4,5.94,58,4,4.8,60,4,3.8
Dominica,DMA,AME,57,45,3,2.55,57,42,3,2.55,59,3,0.85,,,,58,3,2.34,58,3,2.3,58,3,2.3
"Korea, South",KOR,AP,57,45,10,2.74,54,51,10,2.24,53,9,2.33,54,9,2.29,55,9,2.64,55,10,2.4,56,10,2.4
Costa Rica,CRI,AME,56,48,7,3.65,59,38,7,2.98,58,7,3.17,55,6,2.71,54,5,4.07,53,5,4.1,54,5,7
Rwanda,RWA,SSA,56,48,6,6.07,55,48,6,6,54,6,5.07,54,5,6.42,49,4,3.23,53,5,5.7,53,5,6.3
Saint Lucia,LCA,AME,55,50,3,4.27,55,48,3,4.27,60,3,6.8,,,,71,3,0.84,71,3,0.8,71,3,0.8
Malta,MLT,WE/EU,54,51,5,1.39,56,46,5,1.18,55,5,1.39,60,4,1.32,55,5,2.63,56,5,2.4,57,4,2.4
Namibia,NAM,SSA,53,52,6,3.72,51,53,6,3.22,52,5,2.03,53,5,2.75,49,5,4,48,6,3.4,48,6,3.5
Grenada,GRD,AME,52,53,3,3,52,52,3,3,56,3,4.63,,,,,,,,,,,,
Italy,ITA,WE/EU,52,53,8,3.29,50,54,8,3.72,47,7,3.34,44,7,2.5,43,7,2.26,43,7,2.5,42,7,2.4
Oman,OMN,MENA,52,53,6,9.46,44,68,5,7,45,5,7.07,45,5,6.69,45,5,6.55,47,5,7.8,47,5,7.6
Mauritius,MUS,SSA,51,56,5,3.83,50,54,5,4.41,54,4,2.14,53,4,1.49,54,4,2.39,52,5,1.1,57,5,3.5
Slovakia,SVK,WE/EU,50,57,9,4.11,50,54,9,3.32,51,8,3.09,51,8,3.63,50,8,4.07,47,8,4.7,46,8,4.3
Jordan,JOR,MENA,49,58,8,3.21,48,59,8,2.99,48,8,3.03,53,7,3,49,7,2.87,45,7,2.4,48,7,3.1
Saudi Arabia,SAU,MENA,49,58,7,6.34,49,57,7,6.14,46,5,7.54,52,5,7.03,49,5,6.69,46,5,6.7,44,5,6.4
Croatia,HRV,WE/EU,48,60,10,2.77,49,57,10,2.64,49,9,2.39,51,9,2.02,48,9,3.25,48,9,3.3,46,8,3.1
Cuba,CUB,AME,47,61,5,2.56,47,62,5,2.36,47,5,2.9,47,4,3.64,46,4,4.46,46,4,4.5,48,4,4.1
Malaysia,MYS,AP,47,61,9,2.86,47,62,9,2.67,49,8,2.46,50,8,3,52,8,2.88,50,9,3.4,49,9,3.4
Romania,ROU,WE/EU,47,61,10,3.25,48,59,10,3.12,48,10,3,46,9,3.11,43,9,3.6,43,9,3,44,8,3.7
Hungary,HUN,WE/EU,46,64,10,2.79,45,66,10,2.89,48,9,2.89,51,9,3.73,54,9,3.45,54,10,3.6,55,10,3.5
Sao Tome and Principe,STP,SSA,46,64,4,5.05,46,64,4,5.21,46,3,0.93,42,3,5,42,3,5.05,42,3,5,42,3,5
Vanuatu,VUT,AP,46,64,3,5.97,43,71,3,3.93,,,,,,,,,,,,,,,
Greece,GRC,WE/EU,45,67,8,2.51,48,59,8,2.98,44,7,2.5,46,7,5.08,43,7,5.56,40,7,4.5,36,7,3.6
Montenegro,MNE,ECA,45,67,5,4.43,46,64,5,2.45,45,4,2.89,44,4,4.87,42,4,4.25,44,4,2.2,41,4,4.5
Senegal,SEN,SSA,45,67,9,2.51,45,66,9,2.52,45,8,2.63,44,8,2.61,43,8,2.28,41,9,1.5,36,9,1.8
Belarus,BLR,ECA,44,70,7,3.92,44,68,7,4.12,40,7,3.93,32,6,4.37,31,5,4.04,29,5,4,31,5,3.6
Jamaica,JAM,AME,44,70,7,3.37,44,68,7,3.96,39,6,1.84,41,6,1.68,38,6,1.8,38,6,1.8,38,6,2.2
Solomon Islands,SLB,AP,44,70,3,7.38,39,85,3,3.71,42,3,3.34,,,,,,,,,,,,
Morocco,MAR,MENA,43,73,7,3.68,40,81,7,2.6,37,7,1.74,36,6,3.85,39,6,3.57,37,8,2.9,37,8,3.2
South Africa,ZAF,SSA,43,73,8,3.8,43,71,8,3.98,45,7,2.55,44,7,2.61,44,7,2.41,42,9,2.8,43,9,2.5
Suriname,SUR,AME,43,73,4,3.22,41,77,4,4.08,45,4,7.53,36,3,3.21,36,3,3.25,36,3,3.2,37,3,3.2
Tunisia,TUN,MENA,43,73,7,3.86,42,74,7,3.73,41,7,3.9,38,6,2.17,40,6,1.72,41,7,1.9,41,7,2.8
Bulgaria,BGR,WE/EU,42,77,10,2.41,43,71,10,2.66,41,9,2.2,41,9,2.43,43,9,2.82,41,9,3.3,41,8,3.8
