Country,ISO3,Region,CPI Score 2018,Rank ,Standard error,Number of sources,Upper CI,Lower CI ,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,Varieties of Democracy Project
Malaysia,MYS,AP,47,61,2.86,9,52,42,,,37,55,,47,47,41,41,,66,45,47
Romania,ROU,WE/EU,47,61,3.25,10,52,42,,53,65,37,59,47,31,,41,,48,51,39
Hungary,HUN,WE/EU,46,64,2.79,10,51,41,,35,45,55,47,59,38,,50,,35,39,54
Sao Tome and Principe,STP,SSA,46,64,5.05,4,54,38,34,,,,,47,,,,43,,,59
Vanuatu,VUT,AP,46,64,5.97,3,56,36,,,,,,47,,,,35,,,56
Greece,GRC,WE/EU,45,67,2.51,8,49,41,,53,,37,,47,38,,41,,41,50,56
Montenegro,MNE,ECA,45,67,4.43,5,52,38,,,53,,47,47,,,,,52,,28
Senegal,SEN,SSA,45,67,2.51,9,49,41,42,,45,55,,47,,,32,43,40,42,57
Belarus,BLR,ECA,44,70,3.92,7,50,38,,,37,55,33,47,,,32,,,57,50
Jamaica,JAM,AME,44,70,3.37,7,50,38,,,37,37,,35,,,41,,45,51,59
Solomon Islands,SLB,AP,44,70,7.38,3,56,32,,,,,,59,,,,35,,,39
Morocco,MAR,MENA,43,73,3.68,7,49,37,,,29,37,,35,,,50,,57,45,47
South Africa,ZAF,SSA,43,73,3.8,8,49,37,,,45,55,,47,28,,41,,27,45,56
Suriname,SUR,AME,43,73,3.22,4,48,38,,,,,,35,,,41,,,47,49
Tunisia,TUN,MENA,43,73,3.86,7,49,37,,,29,37,,47,,,41,,47,36,61
Bulgaria,BGR,WE/EU,42,77,2.41,10,46,38,,44,53,37,53,35,33,,50,,37,36,43
Burkina Faso,BFA,SSA,41,78,1.81,8,44,38,44,,33,,,47,,,41,43,34,37,44
Ghana,GHA,SSA,41,78,2.54,9,45,37,47,,41,55,,35,,,45,43,37,36,30
India,IND,AP,41,78,2.42,9,45,37,,,45,37,,47,37,36,41,,56,36,33
Kuwait,KWT,MENA,41,78,3.47,6,47,35,,,33,37,,35,,,41,,56,,46
Lesotho,LSO,SSA,41,78,3.67,6,47,35,37,,41,,,59,,,,35,36,,39
Trinidad and Tobago,TTO,AME,41,78,5.8,6,51,31,,,,37,,35,,,32,,33,38,69
