,Unnamed: 0,country,gdp_usd,population,CPI,rank,GI_risk,co2_mmt,gdp_capita,regulatory_quality,political_stability,accountability,rule_of_law,co2_mmt_capita,co2_kg_capita,GDP_Ag_and_Forest,petro_income,resource_income,co2_dollar,co2_kg_dollar,KOFGI
20,20,Bulgaria,132051000000.0,7121330.0,42,77,35,42.8881,18543.0,0.658518,0.07733330000000001,0.401109,-0.0614716,6.02248456397892e-06,0.006022484563978921,4.054819999999999,0.00679084,1.3404200000000002,3.247843636170873e-10,0.3247843636170873,79.5186462402344
21,21,Burkina Faso,29994700000.0,18669200.0,41,78,47,3.41815,1606.64,-0.397383,-0.867376,0.0133565,-0.441279,1.8309033059799027e-07,0.00018309033059799024,30.7572,0.0,21.1141,1.1395846599565921e-10,0.11395846599565923,54.63960266113279
22,22,Burundi,7130170000.0,10547300.0,17,170,22,0.217061,676.018,-0.825259,-1.97072,-1.54965,-1.46024,2.057976923003992e-08,2.057976923003992e-05,30.6459,0.0,17.0211,3.044261216773233e-11,0.030442612167732325,38.9452323913574
23,23,Cambodia,53465400000.0,15757200.0,20,161,22,9.64978,3393.08,-0.46522,0.211038,-1.10694,-1.06366,6.124044881070241e-07,0.0006124044881070241,24.7427,0.0,1.88822,1.804864454394805e-10,0.18048644543948048,56.672183990478494
24,24,Cameroon,76987300000.0,23459200.0,25,152,35,7.1112199999999985,3281.75,-0.789898,-1.06214,-1.0329700000000002,-1.036,3.031313940799345e-07,0.00030313139407993453,14.543,1.68802,5.90255,9.2368741337857e-11,0.092368741337857,48.0793533325195
25,25,Central African Republic,2824990000.0,4621060.0,26,149,22,0.414601,611.3290000000002,-1.42731,-1.78927,-1.08655,-1.8165,8.971989110723514e-08,8.971989110723513e-05,31.3794,0.0,14.0879,1.4676193544047942e-10,0.14676193544047944,34.7126808166504
26,26,Chad,26306200000.0,14464500.0,19,165,22,0.342687,1818.67,-1.18002,-1.30236,-1.35586,-1.37793,2.3691589754225866e-08,2.369158975422587e-05,46.1258,6.758139999999999,13.1924,1.3026852985227815e-11,0.013026852985227816,40.081489562988295
27,27,Chile,396449000000.0,17928000.0,67,27,59,83.5098,22113.4,1.37306,0.413111,0.99514,1.12927,4.658065595716198e-06,0.004658065595716198,3.99347,0.00811921,10.2821,2.106444965178371e-10,0.2106444965178371,74.14324951171879
28,28,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,61.232608795165994
29,29,Colombia,623204000000.0,48627000.0,36,99,47,87.7055,12816.0,0.402009,-0.882459,0.120772,-0.278798,1.803637896641784e-06,0.001803637896641784,6.60641,1.8408099999999998,3.41675,1.407332109550003e-10,0.1407332109550003,61.6802368164062
30,30,Comoros,1149000000.0,795859.0,27,144,47,0.193975,1443.72,-1.04956,0.0357599,-0.25193000000000004,-0.998509,2.4373035927218266e-07,0.00024373035927218267,29.6406,0.0,2.43475,1.6882071366405572e-10,0.1688207136640557,40.2011680603027
31,31,Costa Rica,72358900000.0,4855120.0,56,48,47,7.65027,14903.6,0.407434,0.661428,1.11753,0.466043,1.575711825866302e-06,0.0015757118258663018,5.130809999999999,0.0,1.1805,1.0572673161145346e-10,0.10572673161145346,67.6670608520508
32,32,Croatia,88538700000.0,4167880.0,48,60,47,17.0616,21243.1,0.35627800000000004,0.6637689999999999,0.524517,0.409176,4.093591946025316e-06,0.004093591946025317,3.1359,0.160429,0.590698,1.9270217430344016e-10,0.19270217430344014,79.0417938232422
33,33,Cuba,130111000000.0,11468200.0,47,61,47,24.6833,11345.4,-1.3387,0.6853640000000001,-1.5602,-0.442362,2.1523255611168274e-06,0.002152325561116828,3.9389300000000005,0.22676,0.499363,1.897095556870672e-10,0.1897095556870672,59.2374801635742
34,34,Cyprus,27741900000.0,854802.0,59,38,59,8.146,32454.2,1.05263,0.604255,1.0465799999999998,0.721344,9.529692256218401e-06,0.0095296922562184,1.92518,0.0,0.0241952,2.9363525930091307e-10,0.29363525930091305,75.5985946655273
35,35,Czech Republic,321115000000.0,10569400.0,59,38,71,106.275,30381.4,0.986401,0.976116,1.0247700000000002,1.0355,1.0054970007758247e-05,0.010054970007758249,2.06494,0.0072732,0.308197,3.309561994923938e-10,0.3309561994923937,83.4099349975586
36,36,Denmark,253475000000.0,5733200.0,88,1,83,37.7633,44211.7,1.57541,0.867915,1.54136,1.9123900000000005,6.586775273843578e-06,0.0065867752738435785,0.996361,0.271958,0.362379,1.4898234539895452e-10,0.14898234539895452,87.85067749023442
