country,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Ghana,WHO,, 	433 , 	401 , 	436 , 	452 , 	393 , 	412 , 	399 , 	430 , 	427 , 	422 , 	423 ,,,,,,
Guinea,WHO Estimate, 	956 ,,,,, 	973 ,,,,," 	1,019 ",,,,," 	1,067 ",,
Guinea-Bissau,WHO Estimate, 	162 ,,,,, 	161 ,,,,, 	163 ,,,,, 	169 ,,
Liberia,UNMIL,,,,,,,, 	100 , 	177 , 	145 , 	129 , 	161 , 	135 ,,,,,
Mali,WHO Estimate," 	1,413 ",,,,," 	1,623 ",,,,," 	1,836 ",,,,," 	1,905 ",,
Mauritania,WHO Estimate, 	371 ,,,,, 	388 ,,,,, 	392 ,,,,, 	416 ,,
Niger,WHO,,,,,,,,,,,, 	831 , 	788 ,,,,,
Nigeria,WHO Estimate," 	15,605 ",,,,," 	16,423 ",,,,," 	16,996 ",,,,," 	17,843 ",,
Saint Helena,NSO, 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,
Senegal,WHO Estimate, 	984 ,,,,," 	1,047 ",,,,," 	1,099 ",,,,," 	1,105 ",,
Sierra Leone,UNSDC/NP/SDG,,,,, 	112 , 	99 , 	101 , 	134 , 	184 , 	158 , 	163 , 	187 , 	113 ,,, 	124 ,,
Togo,WHO Estimate, 	522 ,,,,, 	606 ,,,,, 	625 ,,,,, 	668 ,,
Anguilla,NSO/SDG/PAHO, 	1 , 	-   , 	2 , 	2 , 	1 , 	-   , 	5 , 	4 , 	1 , 	1 , 	-   , 	-   , 	5 , 	1 , 	4 ,,,
Antigua and Barbuda,OAS, 	5 , 	7 , 	5 , 	5 , 	4 , 	3 , 	11 , 	17 , 	16 , 	16 , 	6 ,, 	10 ,,,,,
Aruba,MD,, 	4 , 	5 , 	4 , 	2 , 	6 , 	5 , 	3 , 	5 , 	4 , 	4 , 	2 , 	4 , 	6 , 	2 ,,,
Bahamas,OAS/CTS/NP, 	74 , 	43 , 	52 , 	50 , 	44 , 	52 , 	61 , 	78 , 	73 , 	87 , 	94 , 	127 , 	111 , 	119 , 	123 , 	146 , 	111 ,
Barbados,OAS/CTS, 	20 , 	25 , 	25 , 	33 , 	22 , 	29 , 	35 , 	25 , 	23 , 	19 , 	31 , 	27 , 	22 , 	24 , 	25 , 	31 ,,
British Virgin Islands,MD,, 	1 , 	1 , 	2 , 	4 ,, 	2 ,,,,,,,,,,,
Cayman Islands,MD/WHO/NSO, 	4 , 	2 , 	-   , 	3 , 	5 , 	3 , 	1 , 	2 , 	4 , 	8 , 	9 ,,, 	5 , 	5 ,,,
Cuba,MD/MOH, 	587 , 	605 , 	661 , 	642 , 	660 , 	684 , 	576 , 	568 , 	515 , 	565 , 	505 , 	534 , 	621 , 	674 , 	600 , 	619 , 	572 ,
Curaçao,PAHO,, 	10 , 	39 , 	43 , 	41 , 	26 , 	18 , 	26 ,,,,,,,,,,
Dominica,UNSDC/OAS, 	2 , 	1 , 	9 , 	8 , 	8 , 	8 , 	5 , 	7 , 	7 , 	13 , 	15 , 	6 ,,,,,,
Dominican Republic,NGO/SES/CTS/RIC," 	1,210 "," 	1,095 "," 	1,279 "," 	1,902 "," 	2,239 "," 	2,394 "," 	2,144 "," 	2,111 "," 	2,394 "," 	2,375 "," 	2,474 "," 	2,513 "," 	2,268 "," 	1,978 "," 	1,810 ",," 	1,616 ",
Grenada,OAS/CTS, 	15 , 	6 , 	14 , 	9 , 	6 , 	11 , 	12 , 	11 , 	16 , 	7 , 	10 , 	4 , 	14 , 	6 , 	8 , 	6 , 	11 ,
Guadeloupe,NP,,,,, 	26 , 	23 , 	24 , 	29 , 	32 , 	36 ,,,,,,,,
Haiti,OAS,,,,,,,, 	486 , 	498 , 	598 , 	677 , 	914 ," 	1,033 ",,,,,
Jamaica,OAS/CTS, 	887 ," 	1,139 "," 	1,045 ", 	975 ," 	1,471 "," 	1,674 "," 	1,340 "," 	1,584 "," 	1,619 "," 	1,683 "," 	1,447 "," 	1,133 "," 	1,099 "," 	1,201 "," 	1,005 "," 	1,208 "," 	1,354 ",
Martinique,NP,,,,, 	19 , 	19 , 	23 , 	23 , 	17 , 	11 ,,,,,,,,
Montserrat,PAHO/WHO/MD, 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 ,, 	1 ,,,, 	1 ,,,,,
Puerto Rico,NP/NSO, 	695 , 	747 , 	781 , 	787 , 	797 , 	771 , 	748 , 	730 , 	815 , 	901 ," 	1,017 "," 	1,164 "," 	1,004 ", 	902 , 	700 , 	619 , 	679 ,
Saint Kitts and Nevis,OAS/CTS, 	3 , 	6 , 	5 , 	10 , 	11 , 	8 , 	17 , 	16 , 	23 , 	27 , 	21 , 	34 , 	18 ,,,,,
Saint Lucia,OAS/MD, 	23 , 	34 , 	42 , 	36 , 	37 , 	41 , 	43 , 	29 , 	39 , 	39 , 	44 , 	46 , 	39 , 	33 , 	34 ,,,
Saint Vincent and the Grenadines,OAS/CTS, 	20 , 	12 , 	20 , 	18 , 	29 , 	26 , 	20 , 	40 , 	16 , 	23 , 	25 , 	21 , 	28 ,,,, 	40 ,
Trinidad and Tobago,OAS/CTS, 	120 , 	151 , 	171 , 	229 , 	260 , 	386 , 	371 , 	391 , 	547 , 	507 , 	473 , 	352 , 	380 , 	408 , 	405 , 	420 ,,
Turks and Caicos Islands,PAHO/MD, 	-   , 	-   , 	2 , 	-   ,, 	-   ,, 	2 , 	2 , 	2 ,,,, 	4 , 	2 ,,,
United States Virgin Islands,MD, 	23 , 	28 , 	41 , 	31 , 	37 , 	37 , 	43 , 	43 , 	46 , 	50 , 	56 , 	45 , 	52 ,,,,,
Belize,OAS/CTS, 	41 , 	64 , 	87 , 	67 , 	79 , 	81 , 	92 , 	97 , 	103 , 	97 , 	129 , 	124 , 	145 , 	99 , 	123 , 	119 , 	138 ,
