,country,gdp_usd,population,CPI,rank,GI_risk,co2_mmt,gdp_capita,regulatory_quality,political_stability,accountability,rule_of_law,co2_mmt_capita,co2_kg_capita,GDP_Ag_and_Forest,petro_income,resource_income,co2_dollar,co2_kg_dollar,meat_milk_tn,energy_value
20,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,48.0,6.01163437242267
21,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,359094.0,6.01163437242267
22,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,19763.0,6.01163437242267
23,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,6822810.0,6.01163437242267
24,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,13406286.0,6.01163437242267
25,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,3035519.0,6.01163437242267
26,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,7758.0,6.01163437242267
27,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,2252907.0,6.01163437242267
28,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,2503411.0,6.01163437242267
29,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,195745.0,6.01163437242267
30,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,50400.0,6.01163437242267
31,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,511083.0,6.01163437242267
32,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,55195010.0,6.01163437242267
33,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,855314.0,6.01163437242267
34,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,2342700.0,6.01163437242267
35,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,2915.0,6.01163437242267
36,China,19400000000000.0,1404130000.0,39,87,47,10592.8,13816.4,-0.264475,-0.499395,-1.56129,-0.334415,7.5440308233568116e-06,0.007544030823356813,8.12625,0.256726,1.2577399999999999,5.460206185567011e-10,0.5460206185567009,87744603.0,6.01163437242267
37,Colombia,623204000000.0,48627000.0,36,99,47,87.7055,12816.0,0.402009,-0.882459,0.120772,-0.278798,1.803637896641784e-06,0.001803637896641784,6.60641,1.8408099999999998,3.41675,1.407332109550003e-10,0.1407332109550003,2638601.0,18.808340212706398
38,Costa Rica,72358900000.0,4855120.0,56,48,47,7.65027,14903.6,0.407434,0.661428,1.11753,0.466043,1.575711825866302e-06,0.0015757118258663018,5.130809999999999,0.0,1.1805,1.0572673161145346e-10,0.10572673161145346,261638.0,14.7284256551486
39,Croatia,88538700000.0,4167880.0,48,60,47,17.0616,21243.1,0.35627800000000004,0.6637689999999999,0.524517,0.409176,4.093591946025316e-06,0.004093591946025317,3.1359,0.160429,0.590698,1.9270217430344016e-10,0.19270217430344014,204077.0,11.632762691817998
40,Cyprus,27741900000.0,854802.0,59,38,59,8.146,32454.2,1.05263,0.604255,1.0465799999999998,0.721344,9.529692256218401e-06,0.0095296922562184,1.92518,0.0,0.0241952,2.9363525930091307e-10,0.29363525930091305,74785.0,13.131959621291001
41,Denmark,253475000000.0,5733200.0,88,1,83,37.7633,44211.7,1.57541,0.867915,1.54136,1.9123900000000005,6.586775273843578e-06,0.0065867752738435785,0.996361,0.271958,0.362379,1.4898234539895452e-10,0.14898234539895452,1868707.0,16.6754467983192
42,Dominican Republic,147299000000.0,10644400.0,30,129,35,23.3221,13838.2,-0.06524500000000001,0.252106,0.180617,-0.395149,2.1910206305663067e-06,0.002191020630566307,5.78452,0.0,2.18321,1.583316926795158e-10,0.1583316926795158,495805.0,18.219900041541603
43,Ecuador,167902000000.0,16382600.0,34,114,22,36.82,10248.8,-1.01845,-0.085358,-0.248473,-0.761253,2.2475065007996287e-06,0.002247506500799629,9.51902,3.17948,3.74535,2.192945885099641e-10,0.2192945885099641,784476.0,12.9185884220571
44,El Salvador,44525200000.0,6345790.0,35,105,35,7.318,7016.49,0.0939717,-0.0992914,0.188029,-0.709517,1.153205511055361e-06,0.001153205511055361,5.63092,0.0,0.968815,1.643563644857294e-10,0.1643563644857294,162478.0,11.203777960729198
45,Estonia,35961100000.0,1315640.0,73,18,71,5.26909,27333.5,1.6981400000000002,0.673908,1.2079799999999998,1.22636,4.004963363838131e-06,0.004004963363838133,2.0862700000000003,0.21048699999999998,1.14431,1.4652193620328636e-10,0.14652193620328635,77964.0,6.306683695578299
46,Ethiopia,163867000000.0,102450000.0,34,114,35,12.0258,1599.48,-1.10131,-1.61981,-1.40366,-0.492349,1.1738213762811127e-07,0.00011738213762811128,34.6088,0.0,11.3692,7.338756430519871e-11,0.07338756430519873,580863.0,3.02985329874605
47,Finland,213514000000.0,5497300.0,85,3,83,46.6064,38839.8,1.81741,0.999086,1.53173,2.01521,8.478052862314228e-06,0.00847805286231423,2.38021,0.0,0.560388,2.1828264188765138e-10,0.2182826418876514,406978.0,6.6743625459797595
48,France,2487650000000.0,66892100.0,72,21,71,354.099,37189.0,1.0703200000000002,-0.0953591,1.13557,1.41308,5.293584743190902e-06,0.0052935847431909,1.43711,0.00399977,0.039476800000000006,1.4234277330010248e-10,0.1423427733001025,5655607.0,10.971047725797801
49,Gabon,32497900000.0,1974400.0,31,124,35,3.98041,16459.6,-0.79791,-0.104911,-0.969589,-0.6045520000000001,2.0160099270664505e-06,0.0020160099270664505,4.97314,8.974,12.227,1.2248206807209079e-10,0.1224820680720908,39386.0,6.51333336322204
50,Georgia,35487600000.0,3940930.0,58,41,47,10.3538,9004.88,1.00866,-0.313291,0.29372600000000004,0.383661,2.627247883113884e-06,0.002627247883113884,7.72735,0.102769,1.07445,2.917582479513971e-10,0.2917582479513971,65489.0,7.848988557462469
51,Germany,3649310000000.0,82392000.0,80,11,83,826.4019999999998,44292.1,1.81702,0.681363,1.36378,1.62202,1.003012428391106e-05,0.01003012428391106,0.666319,0.0081633,0.0584717,2.2645431602138486e-10,0.22645431602138485,8435689.0,12.486107901698
52,Ghana,106867000000.0,28213000.0,41,78,35,13.4355,3787.86,-0.23251,-0.130929,0.5836060000000001,0.0487858,4.7621663772019997e-07,0.0004762166377201998,20.9769,1.06667,11.6513,1.2572169144824874e-10,0.12572169144824874,266334.0,12.073109652819701
53,Greece,262440000000.0,10774000.0,45,67,47,68.2389,24358.5,0.148387,-0.121599,0.668495,0.107346,6.333664377204381e-06,0.0063336643772043824,3.57726,0.0109409,0.0872834,2.6001714677640603e-10,0.260017146776406,400961.0,12.636415027498
54,Guatemala,119582000000.0,16584100.0,27,144,22,16.7256,7210.64,-0.202432,-0.542593,-0.291889,-1.01984,1.008532268859932e-06,0.001008532268859932,10.0094,0.0770888,1.9967400000000002,1.3986720409426167e-10,0.13986720409426168,486933.0,9.098443557827778
55,Honduras,39336500000.0,9112520.0,29,132,22,9.28918,4316.75,-0.5130279999999999,-0.433312,-0.439699,-1.1187,1.0193865143780206e-06,0.0010193865143780208,12.0499,0.0,2.16894,2.361465814192925e-10,0.2361465814192925,263706.0,7.3555436109512495
56,Hungary,248450000000.0,9809900.0,46,64,59,49.4891,25326.4,0.603422,0.654679,0.401252,0.423058,5.044811873719406e-06,0.005044811873719407,3.87207,0.06849889999999999,0.255659,1.9919138659690082e-10,0.1991913865969008,1016192.0,11.0253900535672
57,Iceland,15568300000.0,332840.0,76,14,83,3.23266,46774.1,1.27685,1.36162,1.35605,1.51954,9.712354284340823e-06,0.009712354284340823,4.59204,0.0,0.000250379,2.0764373759498463e-10,0.20764373759498467,33944.0,2.5516067507143902
58,India,7962030000000.0,1326110000.0,41,78,47,2154.76,6004.06,-0.306505,-0.95384,0.440187,-0.0288772,1.6248727481129018e-06,0.0016248727481129018,16.2498,0.235021,1.8376700000000001,2.7062947514641367e-10,0.2706294751464137,7203550.0,8.92710927147997
59,Indonesia,2754650000000.0,261461000.0,38,89,47,513.149,10535.6,-0.122344,-0.372952,0.166679,-0.34475100000000003,1.9626215764492603e-06,0.00196262157644926,13.4787,0.649637,3.05878,1.86284645962282e-10,0.186284645962282,3348950.0,11.958339492257199
60,Ireland,293455000000.0,4762600.0,73,18,71,37.5098,61616.7,1.74097,0.8478190000000001,1.29098,1.51724,7.875908117414857e-06,0.007875908117414857,0.9403969999999999,0.0,0.0997523,1.2782130139203623e-10,0.12782130139203626,1051354.0,18.627241229879697
61,Israel,275424000000.0,8194350.0,61,34,59,70.4422,33611.4,1.31263,-0.794536,0.7866029999999999,1.07218,8.596435348746392e-06,0.008596435348746392,1.20963,0.00145742,0.16675299999999998,2.5575912048332754e-10,0.25575912048332755,795654.0,12.4027301695831
62,Italy,2039770000000.0,60618000.0,52,53,59,356.122,33649.7,0.710592,0.369415,1.03399,0.32916,5.874855653436272e-06,0.005874855653436273,1.88173,0.0242829,0.0494236,1.7458929192997249e-10,0.1745892919299725,3833469.0,14.9393433841578
63,Jamaica,23165100000.0,2880180.0,44,70,35,8.765130000000001,8042.94,0.16384300000000002,0.307684,0.681261,-0.20327,3.0432577130596e-06,0.0030432577130596,6.5971,0.0,1.2312299999999998,3.783765233044537e-10,0.3783765233044537,169798.0,8.674277465760259
64,Japan,4740050000000.0,127716000.0,73,18,71,1202.52,37114.0,1.42812,0.982944,0.987905,1.42099,9.415578314385042e-06,0.009415578314385041,1.21108,0.00148938,0.025740199999999998,2.536935264395945e-10,0.2536935264395945,3921723.0,11.288340389418302
65,Jordan,77707300000.0,9369170.0,49,58,35,24.5321,8293.94,0.0516795,-0.492398,-0.713007,0.3043,2.618385620070935e-06,0.002618385620070935,5.2461400000000005,0.000678472,1.2016,3.156987824824695e-10,0.31569878248246946,245854.0,9.829756418397881
66,Kenya,138918000000.0,48487400.0,27,144,22,17.8866,2865.03,-0.30033000000000004,-1.35479,-0.115443,-0.4405520000000001,3.688917120736522e-07,0.00036889171207365215,31.0723,0.0,2.69254,1.287565326307606e-10,0.1287565326307606,764215.0,5.66623841518521
67,Kuwait,268528000000.0,4009210.0,41,78,35,98.3647,66977.8,-0.073882,-0.0496832,-0.628963,0.0279303,2.4534683890342485e-05,0.024534683890342485,0.518517,31.6395,32.147,3.6631077578502055e-10,0.3663107757850205,110710.0,8.35647605828901
68,Latvia,45772200000.0,1950120.0,58,41,59,8.41797,23471.5,1.08024,0.479069,0.84249,0.958983,4.316642052796751e-06,0.00431664205279675,3.20553,0.0,1.02146,1.8391010263871962e-10,0.1839101026387196,87235.0,10.936907481914801
69,Lebanon,78065500000.0,5885140.0,28,138,22,23.26,13264.9,-0.343162,-1.61897,-0.520428,-0.8304969999999999,3.952327387283905e-06,0.003952327387283905,2.90483,0.0,0.00124701,2.979549224689524e-10,0.2979549224689524,130476.0,10.905040676303999
70,Lithuania,78404100000.0,2847900.0,59,38,59,13.9695,27530.5,1.13622,0.8282799999999999,0.99997,1.02936,4.905193300326557e-06,0.004905193300326557,3.0773900000000003,0.0206936,0.37616700000000003,1.7817308023432446e-10,0.1781730802343245,231333.0,11.801846564495802
71,Luxembourg,53497500000.0,580210.0,81,9,83,10.1962,92203.7,1.7220799999999998,1.41948,1.50021,1.76036,1.7573292428603436e-05,0.017573292428603438,0.224068,0.0,0.012339200000000002,1.905920837422309e-10,0.19059208374223094,24254.0,14.764028699523498
72,Malaysia,784953000000.0,31237900.0,47,61,47,215.716,25128.2,0.711795,0.136825,-0.418371,0.499149,6.905585842838347e-06,0.006905585842838346,8.65364,1.70721,5.51005,2.7481390605552183e-10,0.2748139060555218,2003547.0,8.61524345421784
73,Malta,16363000000.0,460297.0,54,51,59,7.821639999999999,35548.8,1.15679,1.08044,1.19631,0.997759,1.6992593912191477e-05,0.016992593912191475,1.21771,0.0,0.0,4.780077002994561e-10,0.4780077002994561,12482.0,18.7315389670567
74,Mauritius,24246200000.0,1262390.0,51,56,59,6.0273900000000005,19206.6,1.02976,1.01319,0.8190390000000001,0.751672,4.774586300588567e-06,0.004774586300588565,3.1879299999999997,0.0,0.00358581,2.485911194331483e-10,0.2485911194331483,49218.0,17.3567636901487
75,Mexico,2145030000000.0,127740000.0,28,138,22,452.581,16792.2,0.287122,-0.629069,-0.069213,-0.556211,3.542985752309378e-06,0.003542985752309379,3.34955,1.22232,2.27688,2.109905222770777e-10,0.21099052227707768,6553363.0,11.554063081538999
76,Mongolia,33944700000.0,3023380.0,37,93,47,16.7791,11227.4,-0.0763125,0.797793,0.331928,-0.220197,5.549782032030376e-06,0.005549782032030375,11.6894,1.50769,25.1767,4.943069168382694e-10,0.4943069168382693,334646.0,6.52359946158588
77,Montenegro,9459120000.0,628422.0,45,67,47,2.21769,15052.2,0.224433,0.276631,0.0759906,-0.00568145,3.528982117112387e-06,0.0035289821171123866,7.46824,0.0,1.02552,2.344499276888336e-10,0.23444992768883366,10634.0,9.99250187271645
78,Morocco,255334000000.0,35256800.0,43,73,35,52.8825,7242.12,-0.23495,-0.312573,-0.626316,-0.158313,1.499923419028386e-06,0.001499923419028386,11.993,0.00734429,2.21155,2.0711107803896073e-10,0.20711107803896076,1199279.0,13.726882911724902
79,Mozambique,31836300000.0,28870400.0,23,158,22,9.66452,1102.73,-0.7045600000000001,-1.094,-0.4182520000000001,-1.05131,3.347553203280869e-07,0.00033475532032808687,22.618000000000002,0.07188639999999999,17.5869,3.035691961691528e-10,0.3035691961691528,244664.0,2.66846898528214
80,Myanmar,274870000000.0,52884600.0,29,132,22,27.0065,5197.54,-0.868316,-0.80462,-0.797783,-0.886977,5.106685121944763e-07,0.0005106685121944763,25.4685,0.140039,6.7668,9.82519008986066e-11,0.0982519008986066,3078704.0,13.554189798585599
81,Namibia,23848200000.0,2479760.0,53,52,59,3.85431,9617.14,-0.135936,0.71009,0.5822149999999999,0.362666,1.5543076749362842e-06,0.0015543076749362842,6.10992,0.0,4.08419,1.6161848692983117e-10,0.16161848692983116,76738.0,13.343425714103
82,Nepal,66244500000.0,28977100.0,31,124,35,6.182930000000002,2286.1,-0.764532,-0.8468120000000001,-0.252871,-0.795469,2.133729738310597e-07,0.00021337297383105966,29.1492,0.0,1.3040200000000002,9.333499384854592e-11,0.09333499384854592,372247.0,5.802033950449211
