"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000000000000000000000000f&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&tl_id=40-A&vs=INTL.4008-8-AFG-MMTCD.A&cy=2015&vo=0&v=H&start=2015&end=2016&showdm=y"
"Tue Oct 15 2019 17:17:10 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2015,2016
"","Emissions","MMtons CO2"
"","Emissions",""
"","CO2 Emissions",""
"","CO2 Emissions",""
"","Haiti","MMtons CO2",2.976719547,3.41103099
"","Hawaiian Trade Zone","MMtons CO2",--,--
"","Honduras","MMtons CO2",9.618344699,9.289176544
"","Hong Kong","MMtons CO2",94.768981438,98.323982108
"","Hungary","MMtons CO2",48.64029536,49.489057608
"","Iceland","MMtons CO2",2.941972851,3.232656815
"","India","MMtons CO2",2151.105946562,2154.761606057
"","Indonesia","MMtons CO2",504.288116895,513.149340009
"","Iran","MMtons CO2",642.11805004,638.538597076
"","Iraq","MMtons CO2",153.707439337,120.477589725
"","Ireland","MMtons CO2",35.304181901,37.509782543
"","Israel","MMtons CO2",71.193053062,70.44220342
"","Italy","MMtons CO2",358.738616685,356.121837269
"","Jamaica","MMtons CO2",8.762396968,8.765132358
"","Japan","MMtons CO2",1199.682431853,1202.518879939
"","Jordan","MMtons CO2",24.650203334,24.532098903
"","Kazakhstan","MMtons CO2",268.897656819,279.282873451
"","Kenya","MMtons CO2",16.326354198,17.886577262
"","Kiribati","MMtons CO2",0.061743131,0.059000012
"","Kosovo","MMtons CO2",8.413166721,8.938085521
"","Kuwait","MMtons CO2",105.271624503,98.364696299
"","Kyrgyzstan","MMtons CO2",10.033801873,9.66658844
"","Laos","MMtons CO2",9.369947544,9.397113068
"","Latvia","MMtons CO2",8.201665444,8.417974012
"","Lebanon","MMtons CO2",22.968538977,23.260003236
"","Lesotho","MMtons CO2",0.727239599,0.712526059
"","Liberia","MMtons CO2",1.187653248,1.164526405
"","Libya","MMtons CO2",53.44067194,42.640300803
"","Lithuania","MMtons CO2",13.779326287,13.969520031
"","Luxembourg","MMtons CO2",10.327065064,10.19624216
"","Macau","MMtons CO2",2.054717503,2.553472552
"","Macedonia","MMtons CO2",7.020387973,6.895169399
"","Madagascar","MMtons CO2",3.705534421,3.840009212
"","Malawi","MMtons CO2",0.892598609,1.054027657
"","Malaysia","MMtons CO2",218.593961749,215.715583328
"","Maldives","MMtons CO2",1.623073533,1.651954283
"","Mali","MMtons CO2",3.164352382,3.387335965
"","Malta","MMtons CO2",7.110446404,7.821644664
"","Martinique","MMtons CO2",2.707194341,2.686843714
"","Mauritania","MMtons CO2",2.657433819,2.619433268
"","Mauritius","MMtons CO2",5.707212755,6.027392653
"","Mexico","MMtons CO2",454.227157598,452.580730959
"","Micronesia","MMtons CO2",-,-
"","Moldova","MMtons CO2",7.630805412,7.607940909
"","Mongolia","MMtons CO2",16.9639449,16.779087674
"","Montenegro","MMtons CO2",2.444574626,2.217694446
"","Montserrat","MMtons CO2",0.057938512,0.057263296
"","Morocco","MMtons CO2",52.821118041,52.882469182
"","Mozambique","MMtons CO2",7.697934768,9.664523806
"","Myanmar","MMtons CO2",24.450619462,27.006455292
"","Namibia","MMtons CO2",3.867906378,3.854314456
"","Nauru","MMtons CO2",0.073018353,0.076602988
"","Nepal","MMtons CO2",3.929041005,6.182924994
"","Netherlands","MMtons CO2",245.420269595,248.652380687
"","Netherlands Antilles","MMtons CO2",13.176122213,13.302307999
"","New Caledonia","MMtons CO2",5.047132907,5.762067846
"","New Zealand","MMtons CO2",38.102709864,37.511750471
"","Nicaragua","MMtons CO2",5.217960797,5.397170442
"","Niger","MMtons CO2",2.401972895,2.248720223
"","Nigeria","MMtons CO2",100.610694473,97.103695823
"","Niue","MMtons CO2",0.007771319,0.007383307
"","North Korea","MMtons CO2",22.000360391,24.345558474
"","Northern Mariana Islands","MMtons CO2",-,-
"","Norway","MMtons CO2",43.721921372,43.238736148
"","Oman","MMtons CO2",70.898508984,68.45755233
"","Pakistan","MMtons CO2",165.136549907,175.70651572
"","Palestinian Territories","MMtons CO2",2.945197749,3.119995722
"","Panama","MMtons CO2",22.649277384,25.458451562
"","Papua New Guinea","MMtons CO2",6.067177148,6.097005088
"","Paraguay","MMtons CO2",5.815973253,7.20870691
"","Peru","MMtons CO2",52.424109241,55.017240495
"","Philippines","MMtons CO2",109.348212371,110.741520498
"","Poland","MMtons CO2",299.578163415,307.402241626
"","Portugal","MMtons CO2",55.668201952,55.198158034
"","Puerto Rico","MMtons CO2",21.595331644,19.266134825
"","Qatar","MMtons CO2",117.967905401,102.483600023
"","Reunion","MMtons CO2",2.692299335,2.731614293
